status_id,status_message,link_name,status_type,status_link,status_published,num_likes,num_comments,num_shares
5281959998_10150706284059999,"""We have a legal age for drinking alcohol; for joining the military; for voting; for smoking; for driving; and for consenting to have sex. We must have the same when it comes to protecting the organ that defines who we are as human beings,"" Bennet Omalu writes in The New York Times Opinion Section.",Don’t Let Kids Play Football,link,http://nyti.ms/1Qb4G24,2015-12-07 14:56:03,6059,475,1704
5281959998_10150706272244999,"Kendrick Lamar is up for nine awards, more than any other act. Taylor Swift has been nominated seven times for “1989.” And The Weeknd was nominated seven times for “Beauty Behind the Madness.”","Grammy Awards: Kendrick Lamar, Taylor Swift and the Weeknd Lead Nominations",link,http://nyti.ms/1NGaGZY,2015-12-07 14:25:00,1587,74,221
5281959998_10150706267829999,"Imagine all of the world's digital information stored in the approximate amount of liquid in a case of wine. By using DNA as a storage system, it's possible.",Data Storage on DNA Can Keep It Safe for Centuries,link,http://nyti.ms/1OebyWc,2015-12-07 13:55:31,979,53,348
5281959998_10150706260019999,A Chicago police officer will face no state charges in the shooting death of a 25-year-old black man named Ronald Johnson in 2014.,No Charges for Chicago Officer in 2014 Shooting of Ronald Johnson,link,http://nyti.ms/1lJwEot,2015-12-07 13:26:28,287,109,115
5281959998_10150706214064999,We claim no responsibility for what might happen if you’re reading this post while walking.,Distracted Walkers Pose Threat to Self and Others,link,http://nyti.ms/1HQDhjf,2015-12-07 12:55:01,960,68,259
5281959998_10150706219324999,How bad is Beijing's air pollution today? Bad enough to be called an “airpocalypse.”,Beijing Issues Red Alert Over Air Pollution for the First Time,link,http://nyti.ms/1OdXlIR,2015-12-07 12:25:01,1525,119,472
5281959998_10150706187084999,"One of our most popular pieces on Facebook this year: ""We need to stop labeling our sadness and anxiety as uncomfortable symptoms, and to appreciate them as a healthy, adaptive part of our biology,"" writes Julie Holland, a psychiatrist.

Read on in The New York Times Opinion Section.",Medicating Women’s Feelings,link,http://nyti.ms/1lJ76b9,2015-12-07 11:55:01,10236,346,4399
5281959998_10150706203344999,“Only in New York could a couple of Jews make a film about French Canadians coming to the city to sell Christmas trees to atheists.”,How Loyal Are Your Customers: A Christmas Tree Vendor’s Friendships Inspire a Film,link,http://nyti.ms/1TTvAu5,2015-12-07 11:28:24,1779,69,317
5281959998_10150706187859999,"Pearl Harbor was attacked on this day in 1941. ""The news of these surprise attacks fell like a bombshell on Washington,"" Frank L. Kluckhohn wrote in The New York Times.

See more of the Times's coverage: http://nyti.ms/1NR8sNN",Timeline Photos,photo,https://www.facebook.com/nytimes/photos/a.283559809998.33779.5281959998/10150706187859999/?type=3,2015-12-07 10:56:47,1222,59,532
5281959998_10150706183369999,"President Barack Obama is, in essence, arguing that a long game is the only game, since once the Islamic State is defeated, some other extremist group would most likely rise in its place, David Sanger writes in The New York Times Politics and Washington.",Obama’s Speech on Terrorist Threat Is a Plea for Patience and National Unity,link,http://nyti.ms/1SJ4BAx,2015-12-07 10:26:42,1864,224,189
